"文件夹","名称","平面坐标X","平面坐标Y","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment","创建时间","修改时间"
"/供水管线图（2025年测）/JST","JS3950","1.918","0.543","109.88186401","31.10486895","0","1","0","1-0","0","0X00000000","0.0","1188359462","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88137930","31.10654673","0","1","0","1-0","0","0X00000000","0.0","1015759661","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88141264","31.10639205","0","1","0","1-0","0","0X00000000","0.0","1941017600","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88141257","31.10618487","0","1","0","1-0","0","0X00000000","0.0","580108107","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3958","1.918","0.543","109.88144674","31.10629337","0","1","0","1-0","0","0X00000000","0.0","497681156","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3959","1.918","0.543","109.88143915","31.10640923","0","1","0","1-0","0","0X00000000","0.0","272634756","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88251189","31.10373969","0","1","0","1-0","0","0X00000000","0.0","503903574","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88238347","31.10397454","0","1","0","1-0","0","0X00000000","0.0","1318679378","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3944","1.918","0.543","109.88256906","31.10359778","0","1","0","1-0","0","0X00000000","0.0","311773914","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3945","1.918","0.543","109.88250008","31.10381071","0","1","0","1-0","0","0X00000000","0.0","15450756","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3946","1.918","0.543","109.88235711","31.10407485","0","1","0","1-0","0","0X00000000","0.0","299221246","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4036","1.918","0.543","109.88261890","31.10360780","0","1","0","1-0","0","0X00000000","0.0","449598670","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88209940","31.10445631","0","1","0","1-0","0","0X00000000","0.0","10971445","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88199457","31.10462264","0","1","0","1-0","0","0X00000000","0.0","1064414006","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3947","1.918","0.543","109.88220299","31.10433067","0","1","0","1-0","0","0X00000000","0.0","188575772","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88223354","31.10423323","0","1","0","1-0","0","0X00000000","0.0","841421222","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3948","1.918","0.543","109.88208874","31.10452093","0","1","0","1-0","0","0X00000000","0.0","2010340352","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3949","1.918","0.543","109.88199529","31.10466528","0","1","0","1-0","0","0X00000000","0.0","753786534","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88143196","31.10572291","0","1","0","1-0","0","0X00000000","0.0","1777157485","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88153006","31.10550149","0","1","0","1-0","0","0X00000000","0.0","2059153238","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3953","1.918","0.543","109.88152219","31.10558188","0","1","0","1-0","0","0X00000000","0.0","1404294389","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3952","1.918","0.543","109.88162316","31.10535342","0","1","0","1-0","0","0X00000000","0.0","1455290829","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3954","1.918","0.543","109.88142705","31.10579633","0","1","0","1-0","0","0X00000000","0.0","863922425","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88139648","31.10603847","0","1","0","1-0","0","0X00000000","0.0","263697300","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88138811","31.10590647","0","1","0","1-0","0","0X00000000","0.0","195877687","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3955","1.918","0.543","109.88140757","31.10588230","0","1","0","1-0","0","0X00000000","0.0","1169551407","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3956","1.918","0.543","109.88141335","31.10600090","0","1","0","1-0","0","0X00000000","0.0","462130504","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3957","1.918","0.543","109.88138246","31.10614366","0","1","0","1-0","0","0X00000000","0.0","1759599842","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS4035","1.918","0.543","109.88143534","31.10614444","0","1","0","1-0","0","0X00000000","0.0","368748531","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88133189","31.10670385","0","1","0","1-0","0","0X00000000","0.0","2097853852","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN150","1.918","0.543","109.88126704","31.10683060","0","1","0","1-0","0","0X00000000","0.0","2031339148","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3961","1.918","0.543","109.88135121","31.10672762","0","1","0","1-0","0","0X00000000","0.0","270461962","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3962","1.918","0.543","109.88127334","31.10687026","0","1","0","1-0","0","0X00000000","0.0","2028045587","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3960","1.918","0.543","109.88139220","31.10660838","0","1","0","1-0","0","0X00000000","0.0","2065125908","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88192721","31.10120926","0","1","0","1-0","0","0X00000000","0.0","1711373670","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88199531","31.10137624","0","1","0","1-0","0","0X00000000","0.0","123776394","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88209619","31.10123363","0","1","0","1-0","0","0X00000000","0.0","13204399","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88217444","31.10129810","0","1","0","1-0","0","0X00000000","0.0","1383588099","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3789","1.918","0.543","109.88191446","31.10142685","0","1","0","1-0","0","0X00000000","0.0","700311971","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88146151","31.10185111","0","1","0","1-0","0","0X00000000","0.0","589787384","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88170834","31.10149874","0","1","0","1-0","0","0X00000000","0.0","1502109206","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88176373","31.10192293","0","1","0","1-0","0","0X00000000","0.0","197442227","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3797","1.918","0.543","109.88199007","31.10197246","0","1","0","1-0","0","0X00000000","0.0","554799165","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3796","1.918","0.543","109.88161978","31.10186674","0","1","0","1-0","0","0X00000000","0.0","1649514217","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3790","1.918","0.543","109.88159067","31.10156841","0","1","0","1-0","0","0X00000000","0.0","1412496552","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88128739","31.10111159","0","1","0","1-0","0","0X00000000","0.0","435397720","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88104783","31.10110354","0","1","0","1-0","0","0X00000000","0.0","152731954","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88082692","31.10108168","0","1","0","1-0","0","0X00000000","0.0","106028078","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88060300","31.10106665","0","1","0","1-0","0","0X00000000","0.0","425483398","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3779","1.918","0.543","109.88096305","31.10107711","0","1","0","1-0","0","0X00000000","0.0","836378041","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3780","1.918","0.543","109.88119735","31.10109372","0","1","0","1-0","0","0X00000000","0.0","1797942859","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3778","1.918","0.543","109.88075709","31.10105252","0","1","0","1-0","0","0X00000000","0.0","390155488","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88358975","31.10179219","0","1","0","1-0","0","0X00000000","0.0","1497346640","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN200","1.918","0.543","109.88350737","31.10181588","0","1","0","1-0","0","0X00000000","0.0","1188530797","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3807","1.918","0.543","109.88353776","31.10181954","0","1","0","1-0","0","0X00000000","0.0","1626236130","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3934","1.918","0.543","109.88363030","31.10171158","0","1","0","1-0","0","0X00000000","0.0","230070417","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN200","1.918","0.543","109.88372064","31.10170646","0","1","0","1-0","0","0X00000000","0.0","1406897260","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88372424","31.10171274","0","1","0","1-0","0","0X00000000","0.0","1392852059","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3808","1.918","0.543","109.88368990","31.10172220","0","1","0","1-0","0","0X00000000","0.0","1745899768","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3809","1.918","0.543","109.88381103","31.10164721","0","1","0","1-0","0","0X00000000","0.0","1177833099","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 钢 DN200","1.918","0.543","109.88389786","31.10160289","0","1","0","1-0","0","0X00000000","0.0","1618984337","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS 球墨铸铁 DN200","1.918","0.543","109.88383637","31.10160679","0","1","0","1-0","0","0X00000000","0.0","2147640250","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
"/供水管线图（2025年测）/JST","JS3935","1.918","0.543","109.88378643","31.10161503","0","1","0","1-0","0","0X00000000","0.0","1410918650","","无","","1970-01-01 08:00:00","2026-07-15 11:08:39"
